N,lambda,R,min_P2,rho_at_min,P2_negative,n_valid
2,0.7847599703514607,4832.930238571752,0.00032730462833322453,0.4977386934673367,False,200
2,0.7847599703514607,6951.927961775606,0.00032730462833322453,0.4977386934673367,False,200
2,0.7847599703514607,10000.0,0.00032730462833322453,0.4977386934673367,False,200
2,1.438449888287663,10.0,0.00032730462833322453,0.4977386934673367,False,200
2,1.438449888287663,14.38449888287663,0.00032730462833322453,0.4977386934673367,False,200
2,1.438449888287663,20.6913808111479,0.00032730462833322453,0.4977386934673367,False,200
2,1.438449888287663,29.76351441631318,0.00032730462833322453,0.4977386934673367,False,200
2,1.438449888287663,42.81332398719393,0.00032730462833322453,0.4977386934673367,False,200
2,1.438449888287663,61.58482110660264,0.00032730462833322453,0.4977386934673367,False,200
2,1.438449888287663,88.58667904100822,0.00032730462833322453,0.4977386934673367,False,200
